Placa,dia,Modelo,Odómetro Final,Odómetro Inicial,Distancia Diaria,Consumo Promedio [kWh/km],Energía [kWh],Costo Aproximado [$],kgCO2,Scoring,Nro. de Veloc.,Penalización Veloc.,Nro. de Acel.,Penalización Acel.,Nro. de Fren.,Penalización Fren.
A737AG,19/7/2024,BYD T45,"15,161.00","15,086.00",75,"0,386","28,96","75,3","12,45",9.769.999.992.847.440,0.0,0.0,3.0,0.800000011920929,6.0,15.000.000.596.046.400
A737AG,18/7/2024,BYD T45,"15,086.00","14,851.00",235,"0,386","90,73","235,9","39,01",7.079.999.920.725.820,0.0,0.0,38.0,14.800.000.220.537.100,49.0,1.440.000.057.220.450
A737AG,17/7/2024,BYD T45,"14,851.00","14,745.00",106,"0,386","40,93","106,42","17,6",818.999.995.291.233,0.0,0.0,26.0,10.000.000.149.011.600,28.0,8.100.000.321.865.080
A737AG,16/7/2024,BYD T45,"14,745.00","14,624.00",121,"0,386","46,72","121,47","20,09",8.959.999.972.581.860,0.0,0.0,15.0,5.600.000.083.446.500,17.0,4.800.000.190.734.860
A737AG,15/7/2024,BYD T45,"14,624.00","14,550.00",74,"0,386","28,57","74,28","12,29",8.859.999.969.601.630,0.0,0.0,16.0,6.000.000.089.406.960,19.0,5.400.000.214.576.720
A737AG,13/7/2024,BYD T45,"14,550.00","14,512.00",38,"0,386","14,67","38,14","6,31",9.939.999.997.615.810,0.0,0.0,0.0,0,3.0,0.6000000238418579
A737AG,11/7/2024,BYD T45,"14,474.00","14,339.00",135,"0,386","52,12","135,51","22,41",8.189.999.943.971.630,0.0,0.0,17.0,6.400.000.095.367.430,40.0,1.170.000.046.491.620
A737AG,10/7/2024,BYD T45,"14,339.00","14,183.00",156,"0,386","60,23","156,6","25,9",8.419.999.954.104.420,0.0,0.0,18.0,6.800.000.101.327.890,31.0,9.000.000.357.627.860
A737AG,8/7/2024,BYD T45,"14,144.00","13,969.00",175,"0,386","67,57","175,68","29,06",8.399.999.940.395.350,0.0,0.0,5.0,1.600.000.023.841.850,49.0,1.440.000.057.220.450
A737AG,6/7/2024,BYD T45,"13,969.00","13,932.00",37,"0,386","14,29","37,15","6,14",9.909.999.996.423.720,0.0,0.0,1.0,0,4.0,0.9000000357627869
A737AG,5/7/2024,BYD T45,"13,932.00","13,801.00",131,"0,386","50,58","131,51","21,75",6.659.999.912.977.210,0.0,0.0,47.0,18.400.000.274.181.300,51.0,15.000.000.596.046.400
A737AG,4/7/2024,BYD T45,"13,801.00","13,735.00",66,"0,386","25,48","66,25","10,96",9.319.999.983.906.740,0.0,0.0,12.0,4.400.000.065.565.100,9.0,24.000.000.953.674.300
A737AG,3/7/2024,BYD T45,"13,735.00","13,650.00",85,"0,386","32,82","85,33","14,11",8.819.999.969.005.580,0.0,0.0,17.0,6.400.000.095.367.430,19.0,5.400.000.214.576.720
A737AG,2/7/2024,BYD T45,"13,650.00","13,649.00",1,"0,386","0,39","1,01","0,17",100,0.0,0.0,0.0,0,0.0,0
A737AG,28/6/2024,BYD T45,"13,649.00","13,577.00",72,"0,386","27,8","72,28","11,95",6.869.999.906.420.700,0.0,0.0,32.0,12.400.000.184.774.300,64.0,18.900.000.751.018.500
A737AG,27/6/2024,BYD T45,"13,577.00","13,479.00",98,"0,386","37,84","98,38","16,27",9.789.999.994.635.580,0.0,0.0,4.0,12.000.000.178.813.900,4.0,0.9000000357627869
A737AG,26/6/2024,BYD T45,"13,479.00","13,280.00",199,"0,386","76,83","199,76","33,04",7.329.999.923.706.050,0.0,0.0,31.0,12.000.000.178.813.900,50.0,14.700.000.584.125.500
A737AG,24/6/2024,BYD T45,"13,241.00","13,148.00",93,"0,386","35,91","93,37","15,44",8.489.999.955.892.560,0.0,0.0,17.0,6.400.000.095.367.430,30.0,870.000.034.570.694
A737AG,21/6/2024,BYD T45,"13,148.00","13,043.00",105,"0,386","40,54","105,4","17,43",8.609.999.963.641.160,0.0,0.0,20.0,7.600.000.113.248.820,22.0,6.300.000.250.339.500
A737AG,19/6/2024,BYD T45,"13,043.00","12,913.00",130,"0,386","50,19","130,49","21,58",6.199.999.883.770.940,0.0,0.0,36.0,14.000.000.208.616.200,81.0,24.000.000.953.674.300
A737AG,14/6/2024,BYD T45,"12,913.00","12,819.00",94,"0,386","36,29","94,35","15,6",8.869.999.966.025.350,0.0,0.0,12.0,4.400.000.065.565.100,24.0,6.900.000.274.181.360
A737AG,13/6/2024,BYD T45,"12,819.00","12,782.00",37,"0,386","14,29","37,15","6,14",9.969.999.998.807.900,0.0,0.0,1.0,0,2.0,0.30000001192092896
A737AG,12/6/2024,BYD T45,"12,782.00","12,594.00",188,"0,386","72,59","188,73","31,21",6.869.999.912.381.170,0.0,0.0,38.0,14.800.000.220.537.100,56.0,16.500.000.655.651.000
A737AG,11/6/2024,BYD T45,"12,594.00","12,457.00",137,"0,386","52,9","137,54","22,75",7.819.999.939.203.260,0.0,0.0,27.0,10.400.000.154.972.000,39.0,114.000.004.529.953
A737AG,10/6/2024,BYD T45,"12,457.00","12,402.00",55,"0,386","21,24","55,22","9,13",9.809.999.993.443.480,0.0,0.0,2.0,0.4000000059604645,6.0,15.000.000.596.046.400
A737AG,8/6/2024,BYD T45,"12,402.00","12,365.00",37,"0,386","14,29","37,15","6,14",8.909.999.969.601.630,0.0,0.0,14.0,5.200.000.077.486.030,20.0,570.000.022.649.765
A737AG,7/6/2024,BYD T45,"12,365.00","12,174.00",191,"0,386","73,75","191,75","31,71",842.999.995.648.861,0.0,0.0,20.0,7.600.000.113.248.820,28.0,8.100.000.321.865.080
A737AG,6/6/2024,BYD T45,"12,174.00","12,026.00",148,"0,386","57,14","148,56","24,57",8.009.999.939.799.300,0.0,0.0,20.0,7.600.000.113.248.820,42.0,12.300.000.488.758.000
A737AG,5/6/2024,BYD T45,"12,026.00","11,903.00",123,"0,386","47,49","123,47","20,42",8.039.999.946.951.860,0.0,0.0,26.0,10.000.000.149.011.600,33.0,9.600.000.381.469.720
A737AG,3/6/2024,BYD T45,"11,903.00","11,827.00",76,"0,386","29,34","76,28","12,62",9.299.999.982.118.600,0.0,0.0,11.0,4.000.000.059.604.640,11.0,30.000.001.192.092.800
A737AG,1/6/2024,BYD T45,"11,827.00","11,789.00",38,"0,386","14,67","38,14","6,31",9.559.999.984.502.790,0.0,0.0,3.0,0.800000011920929,13.0,36.000.001.430.511.400
