dia;Operador;Modelo;Placa;Odometro Final;Odometro Inicial;Distancia Diaria;energy;kWh/km
10/09/2024;LALA;JAC E10X;38N093;1362;1344;18;2,88;0,16
10/09/2024;SIGMA ALIMENTOS;JAC E10X;28J427;53489;53411;78;12,25;0,16
10/09/2024;LALA;JAC E10X;58J036;2688;2617;71;7,36;0,1
10/09/2024;LIVERPOOL;FORD eTransit;32J307;17794;17750;44;11,5;0,26
10/09/2024;LALA;JAC E10X;YVK199B;1377;NULL;NULL;NULL;NULL
11/09/2024;SUPREME RESOURCES;BYD T45;A737AG;18432;18278;154;59,46;0,39
11/09/2024;LALA;JAC E10X;YVK166B;2014;NULL;NULL;NULL;NULL
11/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A014;275151;274886;265;343,15;1,29
11/09/2024;LALA;JAC E10X;58J046;2703;2635;68;10,25;0,15
11/09/2024;GRUPO MODELO;BYD T018 SWB;RE7704A;14848;14752;96;129,71;1,35
11/09/2024;LALA;JAC E10X;57J995;1983;1925;58;9,65;0,17
11/09/2024;LALA;BYD T45;31J780;22860;22860;0;0;NULL
11/09/2024;LALA;JAC E10X;57J997;6797;6715;82;11,33;0,14
11/09/2024;LALA;BYD T45;EU2280C;1044;1014;30;21,09;0,7
11/09/2024;LIVERPOOL;FORD eTransit;32J307;17847;17794;53;13,85;0,26
11/09/2024;LALA;BYD T45;RH1593A;17644;17611;33;25,48;0,77
11/09/2024;GRUPO MODELO;BYD T018 SWB;RE7701A;29564;29489;75;84,16;1,12
11/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A015;276777;276465;312;386,44;1,24
11/09/2024;LIVERPOOL;JAC E Sunray;27J202;14030;14030;0;0;NULL
11/09/2024;GRUPO MODELO;VW eDelivery;RN4491A;8732;8668;64;37,12;0,58
11/09/2024;METROBUS-L3;Yutong E18 ZK6180BEVG;003A016;275701;275280;421;545,15;1,29
